"Sublogins","Sublogins"
"Add","Hinzufügen"
"Customer Id","Kunden Nr."
"Email ""%s"" already exists","E-Mail ""%s"" existiert bereits"
"Your password reset link has expired.","Ihr Passwort-Zurücksetzen-Link ist abgelaufen."
"Your account is deactivated. You have received an email to reactivate the account.","Ihr Benutzerkonto ist deaktiviert. Sie haben eine E-Mail erhalten, um Ihren Benutzerkonto zu reaktivieren."
"Store Id","Sprache"
"eMail","E-Mail"
"Send Mail","Mailversand"
"Firstname","Vorname"
"Lastname","Nachname"
"Days to Expire","Auslaufzeit"
"Date to Expire","Auslaufdatum"
"Sublogins View","Kunden - Sublogins"
"Customer Email","E-Mail"
"Sublogin Customer Id","Unterkonto Kundennummer"
"Sublogin Email","Unterkonto E-Mail"
"Edit Customer","Kunde bearbeiten"
"Further Logins","Weitere Logins"
"Mail","E-Mail Adresse"
"Expire Date","Auslaufdatum"
"Create further login","Weiteren Login erstellen"
"Edit further Login","Login bearbeiten"
"You have no further logins.","Sie haben keine weiteren Logins."
"Further logins / Company logins","Weitere Logins / Firmen Logins"
"Manage and edit your company logins. Possibility for editing and creating additional logins for employees and colleagues.","Bearbeiten und Verwalten Sie Ihre Firmenzugänge. Sie haben die Möglichkeit weitere Logins für Mitarbeiter und Kollegen anzulegen oder bestehende zu bearbeiten oder zu löschen."